,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
788,"sí, lo único que a veces hay algas y eso, pero eso es parte de lanaturaleza. _x0015__x0015_","sí, eso sí. _x0015__x0015_",bien limpia es. _x0015__x0015_,"es limpia. _x0015__x0015_ bueno, eso es normal, no? ","sí, ",eng. _x0015__x0015_,,"eh  bastante turba el agua se ve, sí sí. _x0015__x0015_","ah sí, no? _x0015__x0015_ ",,,
789,"entonces cuand-, si necesita Una amiga, cualquier cosa, Ella essúper, súper chévere, mmh. paty piensa ir a miami e-, ahora que vaya, piensa ir. _x0015__x0015_","mhm, fue Buena gente. _x0015__x0015_","entonces con Ella, con Ella me ayudó mucho, mmh. _x0015__x0015_","verdad? _x0015__x0015_ sí eso me habi-, Ella me había dicho eso, sí. _x0015__x0015_","sí y yo pienso ir a miami sin moverme, de pronto hasta me vaya encarro, si me voy para donde Patricia, ah porque de aquí a allá sondía y medio en carro, eh. _x0015__x0015_",y tú donde lo dejas? _x0015__x0015_,de aquí para allá? _x0015__x0015_,"ah pero dice, no para cuando se va para colombia, no? _x0015__x0015_ mm. _x0015__x0015_","oh no, no, no. de ahorita para o- t-, si voy a miami adonde paty me voy en carro,no el resto lo dejo aquí, eso no es problema, mmh. sí? Le quito el seguro y ya listo. _x0015__x0015_",,,
790,ah pues está para xxx . _x0015__x0015_,mmh? _x0015__x0015_,Dulce? _x0015__x0015_,tú crees? _x0015__x0015_,"ay sí Le dijo Ella a, a, a ale antes que lo m-  &+m,",sí? _x0015__x0015_ mmh. _x0015__x0015_,"dijo Ella a ale, eso sí que aquí yo no voy a permitir que joséManuel me lo llamen, ","mmh, que se prepare. ","eso era tirándole puya . _x0015__x0015_ a, ",,,
791," oye, no he sabido Nada, las el Domingo hablé con la pila pero elDomingo pasado hablé con Mi Lola, estaba eh, estaban bien con lanegra todos. _x0015__x0015_","puro quecho, oye que sabes Del maño? _x0015__x0015_","Nada más, puro quecho, xxx . _x0015__x0015_",sí está bien Mi loli? _x0015__x0015_,sí todos están bien. _x0015__x0015_,ah qué bueno. _x0015__x0015_  el maño nos escribió Una postal. _x0015__x0015_,sí? _x0015__x0015_,"sí, . _x0015__x0015_ está bien. _x0015__x0015_ claro, dice que está bien, está trabajando en la villarreal otravez. _x0015__x0015_",sí. _x0015__x0015_,,,
792,"no preguntes por favor,  ",cuánto Le queda? _x0015__x0015_,"sí, Mi hija. _x0015__x0015_",te quedará veinte pesos? _x0015__x0015_,"sí. _x0015__x0015_ tú estás . _x0015__x0015_ estás ahí tanteando, ",porque yo este la única manera es yo mandarle @s. _x0015__x0015_,,mmh. _x0015__x0015_,"ahora y mañana voy a ver si Le compro algo, ",,,
793,y y nos sí y nos pones. _x0015__x0015_ y nos pones ya? _x0015__x0015_,ya en cuanto sepas pues este que Oscar me diga. _x0015__x0015_,para acá que llega en tres días así,mmh ya que va para que esté el día que yo esté en miami? _x0015__x0015_,"en . _x0015__x0015_ para que es- claro para que para que cuan- para que la encomiendallegue y Tu llegues a miami y la recojas, ",ah ya ya voy a coordinar todo eso con Oscar. _x0015__x0015_,ah okey,sí . _x0015__x0015_,bastantes pues no hasta el . _x0015__x0015_,,,
794,xxx . _x0015__x0015_ mmh . _x0015__x0015_ mmh pues siquiera . _x0015__x0015_,"entonces, pues para empezar a darle acá duro. no Le hace que trabaje aquí tiempo completo. Al cabo que la escuela  ",xxx  . _x0015__x0015_ mhm. _x0015__x0015_ xxx  . _x0015__x0015_," eso sí hay mucho trabajo. no voy a batallar por  ahora que ya me arreglaron los papeles, que ya está todo listo, meentiendes? _x0015__x0015_",xxx  . _x0015__x0015_ mhm . _x0015__x0015_ por trabajo . _x0015__x0015_ sí.,"incluso me van a pagar  este, y no que estoy mandándote lo que yo tengo para Misostenimiento. ",sí . _x0015__x0015_ ajá. _x0015__x0015_,otros cien.,ajá. _x0015__x0015_,,,
795,"aquí rubén darío está . _x0015__x0015_ los primeros días estaba, bueno pues, . _x0015__x0015_",es normal. _x0015__x0015_,porque siempre . _x0015__x0015_ por más que sea siempre . _x0015__x0015_,verdad? llorando por la mami,"&+e . _x0015__x0015_ que si la mamá, que si los muchachos Le hacían falta, que si . _x0015__x0015_",,"y y y coreila otra vez nos llamó y ay que tengo guayabos, que no séqué. ",de verdad? _x0015__x0015_,"yo digo ay pero a nosotros no nos ha pegado . _x0015__x0015_ y y no quiere decir que uno no no piense en ellos, ni que no losquiera, sino que . _x0015__x0015_",,,
796,,"ay, dios mío. _x0015__x0015_",y estamos locos con esa muchacha ya ellos tienen que xxx abuela,"Nereida, ésa es la que no te podía tener bebé? _x0015__x0015_","sí, ésa. _x0015__x0015_",ah y cuántos tiene ahora? _x0015__x0015_,"y tuvo tres, tres. _x0015__x0015_",ah. _x0015__x0015_,"los dos nenes que ya tienen como si-, como ocho o seis, y ahora labebé. _x0015__x0015_",,,
797,"y vinieron la gente, vinieron muchas muchachas. ","mhm, . _x0015__x0015_ mhm  . _x0015__x0015_","ya y, espérate, y Ana no quería por Nada. yo llame a Antonio y se lo dije.  ",pero es aquí en nueva York? _x0015__x0015_,"sí. _x0015__x0015_ sí, allá. _x0015__x0015_",y por qué Ella no se apuntó? _x0015__x0015_,"ay, sí está apuntada. ya Ella de momento vienen a buscarla para examinarla aquí xxxprimero. _x0015__x0015_ sí xxx  . _x0015__x0015_",ay. _x0015__x0015_,oh yo sé lo que es eso. _x0015__x0015_,,,
798,sí. _x0015__x0015_,"sí.  y en to-, en todo caso eh los muchachos no querían salir. _x0015__x0015_",oy estás caliente. _x0015__x0015_,"Del calor y entonces de Un momento a otro e- entra y dice . _x0015__x0015_  m- eh él opo- él Le da trabajos para que, con los tractores, sí? y entonces dijo ",sí. _x0015__x0015_,"ustedes nomás, ustedes dónde estaban Esta mañana? entonces los muchachos dicen, estábamos en la casa.  viendo televisión, ah? _x0015__x0015_ y, sí abuelito y entonces ll- llega y dice  sí porque he pasado dos veces y no he visto a nadie que salga. _x0015__x0015_",,,,,,
799,"Un pelo que se Le llena todita la cabecita y . _x0015__x0015_ y y pelo lacio y castaño claro, gracioso. _x0015__x0015_ mmh ya. _x0015__x0015_",mhm. _x0015__x0015_,"sí, bueno, eso es todo, Nada más, este . _x0015__x0015_ ah mmh qué otra cosa te iba a decir? ah mmh  bueno eh lo Del auto pues es eh hasta ahora está bien me parece, siestán haciendo Una . _x0015__x0015_ averiguación en forma seria, bueno eso s- habrá que atenerse a lasa la circunstancias, no. _x0015__x0015_ ah mmh de todas maneras me gustaría que fueran a ver u- otro unascuantas . _x0015__x0015_ unas cuantas más, no. _x0015__x0015_ y ya. _x0015__x0015_ oh acá la Bebe está Linda. _x0015__x0015_ eh ya cambió todito, ya no es igual a la bebita que dejamos, elpelo es dócil y no es Un pelo ",ah es castaña Clara? _x0015__x0015_,castaño claro es. _x0015__x0015_,tiene pelo más claro que sofí? _x0015__x0015_,"mucho más claro que sofí, creo que tiene pelo Un poquito más oscuroque el de Jorge. ",ah sí? _x0015__x0015_ ah sí? tira para para el color rubio entonces? _x0015__x0015_,"no no no n- no tira, es castaño claro. _x0015__x0015_",,,
800,"mhm  . _x0015__x0015_ sí. _x0015__x0015_ pero yo Le dije aquél día a Mi abuelito que me llamó, Le digo,bueno &+pap . _x0015__x0015_","que qué? fijate, lo negaron. _x0015__x0015_","y Le dijo s- dice Geraldine que Ella escuchó . _x0015__x0015_ que Le dijo Sonia, ah . _x0015__x0015_ dile que Tu abuelito está ocupado. _x0015__x0015_","ah, te habló? Le dijiste a Mi papá? _x0015__x0015_","sí, Le dije yo  . _x0015__x0015_",y qué te dijo? _x0015__x0015_,"yo he intentado llamarles, Le dije . _x0015__x0015_ pero siempre dicen que está ocupado, Le dije. _x0015__x0015_",ajá. _x0015__x0015_,"nunca Le quieren pasar las llamadas, Le dije . _x0015__x0015_",,,
801,ah . _x0015__x0015_,"entonces, entonces, por eso sé sobre esto. _x0015__x0015_",ay qué Buena onda. _x0015__x0015_,"está ahí, cuenta loca, cachai? hay que meter Un poco de chilenismos para que l- para que seconfunda. _x0015__x0015_",sí. _x0015__x0015_,cachai de que la huevada,oye . _x0015__x0015_ y xxx de chile tú sabes? _x0015__x0015_," xxx de chile sí, de sí sé, sí sé. _x0015__x0015_",es chile? _x0015__x0015_ a ver cuenta. _x0015__x0015_,,,
802,"sí Mi amor, sí. _x0015__x0015_",es muy inmaduro. _x0015__x0015_,"ya tiene que coger cabeza, ya, él cree, se cree que es muchachito. sí Mi amor, sí. _x0015__x0015_","todavía tiene para ta-, pajaritos en la cabeza, me entiendes? _x0015__x0015_","ay sí, sí. _x0015__x0015_",,"ay leomar y el, y el muchachito? _x0015__x0015_",feito?,"e-, ay el muchachito con la nariz xxx . _x0015__x0015_",,,
803,"ah, bueno. _x0015__x0015_","sí. _x0015__x0015_ me llamó ayer, sí, pero ya me va a llamar mañana otra vez. _x0015__x0015_","eh? _x0015__x0015_ pórtate bien, entonces. Luisa, e- e- él no llamó ayer, de donde Luisa? _x0015__x0015_",no te digo que me llama a cada rato? _x0015__x0015_,"sí. _x0015__x0015_ ah, pues si tú ves a Marco, dile que es rápido, e- tú sabes? que, . _x0015__x0015_ que es que lo quiere para llenar los papeles. _x0015__x0015_",&+ti . _x0015__x0015_,que la &+necesite . _x0015__x0015_,"ajá, está bien. _x0015__x0015_","okey, déjame ponerte a David, saludos a todos, entonces. _x0015__x0015_",,,
804,ajá. _x0015__x0015_,otros cien.,sí . _x0015__x0015_ ajá. _x0015__x0015_,"y este, y a ver si los mando que lleguen más, que lleguen másrápido, m-, mandé igual que firmen ahí, verdad? _x0015__x0015_",sí.,"este, y &+jal . _x0015__x0015_","sí, pues el otro día es que aquí está Javier, es que Javier no aga-no ha encontrado &+traba . _x0015__x0015_",,,,,
805,castaño claro es. _x0015__x0015_,ah es castaña Clara? _x0015__x0015_,"Un pelo que se Le llena todita la cabecita y . _x0015__x0015_ y y pelo lacio y castaño claro, gracioso. _x0015__x0015_ mmh ya. _x0015__x0015_",tiene pelo más claro que sofí? _x0015__x0015_,"mucho más claro que sofí, creo que tiene pelo Un poquito más oscuroque el de Jorge. ",ah sí? _x0015__x0015_ ah sí? tira para para el color rubio entonces? _x0015__x0015_,"no no no n- no tira, es castaño claro. _x0015__x0015_",castaña? _x0015__x0015_ mmh ya. _x0015__x0015_,"mmh castaño claro y los ojos redondos, parecen ojos de pericote. _x0015__x0015_",,,
806,"sí, ya, ya. qué se va a hacer? _x0015__x0015_","pero Mi papá hay batuta y constitución, no hay quien lo controle. _x0015__x0015_","sí, sí. _x0015__x0015_","tú entiendes? _x0015__x0015_ no ya hay que dejarlo, de hasta que dios quiera, dios y él quieran._x0015__x0015_",sí. yo voy a llamar a &+Jos . _x0015__x0015_,"pues es que a la hora de Su whisky, . _x0015__x0015_ dile que me llame. _x0015__x0015_","voy a llamar a Josefa ahora para ver eh, . _x0015__x0015_ eh, n-, si ya puso la llamada y si no cuándo la va a poner y paradecirle que ustedes están bien, llama a Mi mamá hoy, y dile queestamos bien por aquí y . _x0015__x0015_","está bien, llama a, llama a Josefa y dile que me llame mañana. _x0015__x0015_",está bien. _x0015__x0015_ está bien. _x0015__x0015_,,,
807,cachai de que la huevada,sí. _x0015__x0015_,"está ahí, cuenta loca, cachai? hay que meter Un poco de chilenismos para que l- para que seconfunda. _x0015__x0015_",oye . _x0015__x0015_ y xxx de chile tú sabes? _x0015__x0015_," xxx de chile sí, de sí sé, sí sé. _x0015__x0015_",es chile? _x0015__x0015_ a ver cuenta. _x0015__x0015_,"no, a ver, te lo cuento cuando llegues mejor o no? _x0015__x0015_","no, pero ay, ay, quién Le va a contar? eh p- who's going to care? _x0015__x0015_",pero . _x0015__x0015_ ya apretaste piolina verdad? _x0015__x0015_,,,
808,y si Le quita unos. _x0015__x0015_,"sí, eso es lo malo ya y . _x0015__x0015_","pues ya casi no, la pintura lo daña mucho. _x0015__x0015_","y creo que aquí, el el tinte es más fuerte verdad? _x0015__x0015_",mhm sí. _x0015__x0015_,me parece . _x0015__x0015_,de miss clairol@s . _x0015__x0015_,mhm . _x0015__x0015_,ay Un color muy bonito. _x0015__x0015_ el cuarenta y dos d . _x0015__x0015_,,,
809,ya mis papeles ya los tengo bien y estoy esperando,mmh ya. _x0015__x0015_,sí y este y m- voy a ver de escribirte Una carta . _x0015__x0015_,todo está completo? _x0015__x0015_,sí. _x0015__x0015_,"fíjate bien, averigua bien. _x0015__x0015_",mhm sí todavía tengo que volver de nuevo para entregar otra cosaque me Han dado . _x0015__x0015_,ah ya y . _x0015__x0015_,y ahí ya voy a preguntar bien. _x0015__x0015_,,,
810,"en el, ",oh ay tan Rico poder tener xxx Una copia. _x0015__x0015_,mmh . _x0015__x0015_,y salgo harto o no? _x0015__x0015_,sí eh siempre sales. _x0015__x0015_,ay . _x0015__x0015_,"y sale y john y ellos salen también harto y ese john con la camisaempapada, empapada. _x0015__x0015_",,y Gloria la que más sale es Gloria. _x0015__x0015_,,,
811,"sí, ajá, y todo se fue la casa. _x0015__x0015_","sí, me acuerdo yo de eso. _x0015__x0015_","todo se fue, toda la casa, y era casa mixta. _x0015__x0015_","estaba Chiquita la niña, verdad? _x0015__x0015_","sí, estaba Chiquita ahí quedó, ahí casi que creció Ella. _x0015__x0015_","sí, es cierto. _x0015__x0015_",mmh. _x0015__x0015_,"pero era bien bonito ahí porque parecía como Un pueblo, verdad? _x0015__x0015_ como parecía . _x0015__x0015_","sí, fíjese que, ahí era n- bonito porque tenía a Mi hermana . _x0015__x0015_ ahí Un palito de limón, Un palo de aguacate, palo de almarañón. _x0015__x0015_",,,
812,"o que a lo mejor él lo reservó mucho antes y ya eso no queda, perono sé. _x0015__x0015_",,"puede ser, ",mmh. _x0015__x0015_ lo tuyo son cinco semanas? _x0015__x0015_,"s-, sí. ",okey. _x0015__x0015_,"o sea, el abierto está, el boleto está abierto por cuarenta y cincodías. _x0015__x0015_ ",okey. _x0015__x0015_,"pero Le voy a preguntar a este tipo cuando regrese con qué compañíase fue y todo eso para averiguar para que si, . _x0015__x0015_ a lo mejor no lo agarro Esta vez, pero para la próxima, para saber._x0015__x0015_",,,
813,sí. _x0015__x0015_,,acá. _x0015__x0015_ como cinco horas. _x0015__x0015_,pero tú llegaste aquí a miami? _x0015__x0015_,"sí, yo llegué por miami. _x0015__x0015_",ah esto sí es mucho bobito. _x0015__x0015_ esto es &+mu . _x0015__x0015_,pero no me pusieron problema para Nada Patricia. _x0015__x0015_,"no, es que no Le ponen, eso es puro cuento. _x0015__x0015_","entré . _x0015__x0015_ muy bien todo, pero pues como yo venía de negocios pues me dieronnomás Un mes. _x0015__x0015_",,,
814,"no y . _x0015__x0015_ e- todos todos a Su lado, todos somos negros, hasta Jorge es negroAl lado de Ella. _x0015__x0015_",,"sí y muy bien, muy graciosa. _x0015__x0015_ y lo que llama la atención, es Blanca, más Blanca que toditosnosotros juntos. _x0015__x0015_",ah sí? o sea no la Han soleado entonces  . _x0015__x0015_,"sí sí, Blanca Blanca &+bl . _x0015__x0015_ es Blanca Nieves es Blanca Nieves, ahí Le he puesto e- ahora Lehecho Una carta a Sonia mandándole Un mensaje. _x0015__x0015_",ajá. _x0015__x0015_,que se llama Blanca Nieves. _x0015__x0015_ porque es Blanca Blanca Blanca Blanca. _x0015__x0015_,ya. _x0015__x0015_,y Blanca azulada es.,,,
815,"sí, fíjese que, ahí era n- bonito porque tenía a Mi hermana . _x0015__x0015_ ahí Un palito de limón, Un palo de aguacate, palo de almarañón. _x0015__x0015_","pero era bien bonito ahí porque parecía como Un pueblo, verdad? _x0015__x0015_ como parecía . _x0015__x0015_",mmh. _x0015__x0015_,"anona parece que había, verdad? o no? _x0015__x0015_","y, ajá, sí había Un palo ahí también. _x0015__x0015_","ajá, me acuerdo yo de eso. _x0015__x0015_","y lo que Le, pues sí como a Ella Le gustan las gallinas también. _x0015__x0015_","oh, tenía gallinas? _x0015__x0015_",tenía gallinas Mi mamá. _x0015__x0015_,,,
816,pero que este . _x0015__x0015_,sí? _x0015__x0015_,"no, Kiara se casó. _x0015__x0015_","pero entonces pero Raisa está que, tú dices que está encinta? _x0015__x0015_","sí, está encinta. _x0015__x0015_",oh. _x0015__x0015_,"entonces se, porque Kiara tiene Una n- Un ne- Un nene. _x0015__x0015_",ajá. _x0015__x0015_,se casó. _x0015__x0015_,,,
817,"entré . _x0015__x0015_ muy bien todo, pero pues como yo venía de negocios pues me dieronnomás Un mes. _x0015__x0015_","no, es que no Le ponen, eso es puro cuento. _x0015__x0015_",pero no me pusieron problema para Nada Patricia. _x0015__x0015_," _x0015__x0015_  _x0015__x0015_ Un año. _x0015__x0015_ y te preguntaron? o sea hubiera sido mejor si dices, no vengo de p- de paseo. ",sí. _x0015__x0015_ sí. _x0015__x0015_,,rarísimo. yo no sé. _x0015__x0015_,"rarísimo y la otra es de tres meses, no? _x0015__x0015_","debería de ser con, . _x0015__x0015_ diferente no? _x0015__x0015_",,,
818,ahorita aquí como las once y cuarto. _x0015__x0015_,mmh. _x0015__x0015_ ahorita allá qué hora es? ustedes tienen Una ho- Una  hora adelantada. _x0015__x0015_,"ha venido como a las, ha venido como a las nueve, nueve y media havenido de, Del trabajo. _x0015__x0015_",once y cuarto? _x0015__x0015_,sí. _x0015__x0015_,acá son las diez y cuarto. _x0015__x0015_,"once y cuarto van a ser, diez y cuarto, es Una hora . _x0015__x0015_ antes. _x0015__x0015_","Una hora antes, ",mmh. _x0015__x0015_,,,
819,o sea la la la sabía de Ella no? o sea . _x0015__x0015_,ya. _x0015__x0015_,no la conocía. _x0015__x0015_,&+incum . _x0015__x0015_ ya la conociste ya? _x0015__x0015_,"sí, sí en Una fiesta donde mark . _x0015__x0015_",ya . _x0015__x0015_,"ahí, eh, nos pusimos a hablar, sí que siempre escucho de ti que nosé qué, que no sé cuánto. ",_x0015__x0015_,"muy, muy Buena gente. _x0015__x0015_",,,
820,ajá sí. _x0015__x0015_,ah para Tu casa? _x0015__x0015_,bueno yo creo que Delia viene Esta noche. _x0015__x0015_,Ella te visita mucho? _x0015__x0015_,sí Ella siempre viene sí. _x0015__x0015_,mmh. _x0015__x0015_,pues ya tú sabes. _x0015__x0015_,yo voy entonces mañana temprano yo voy a llamar entonces. _x0015__x0015_,"y chequéate lo de la cabeza eh, no te descuides con eso, eh. _x0015__x0015_",,,
821,,,que Una es poca oye ese barbarazo . _x0015__x0015_,"tú le- tú estás, tú Le estás pidiendo a dios por nosotros todos losdías? _x0015__x0015_",sí Mi amor. _x0015__x0015_,y por qué tú sacas tus cosas xxx? _x0015__x0015_,sí. _x0015__x0015_,mmh . _x0015__x0015_,todos los días. _x0015__x0015_,,,
